"YEV","Inuvik Mike Zubko Airport","Inuvik","Canada","68.30419921880001","-133.483001709","America/Edmonton"
"YFB","Iqaluit Airport","Iqaluit","Canada","63.756401062","-68.5558013916","America/Toronto"
"YFC","Fredericton Airport","Fredericton","Canada","45.868900299072266","-66.53720092773438","America/Halifax"
"YFO","Flin Flon Airport","Flin Flon","Canada","54.6781005859375","-101.68199920654297","America/Winnipeg"
"YFR","Fort Resolution Airport","Fort Resolution","Canada","61.1808013916","-113.690002441","America/Edmonton"
"YFS","Fort Simpson Airport","Fort Simpson","Canada","61.76020050048828","-121.23699951171875","America/Edmonton"
"YGK","Kingston Norman Rogers Airport","Kingston","Canada","44.22529983520508","-76.5969009399414","America/Toronto"
"YGL","La Grande Rivière Airport","La Grande Riviere","Canada","53.625301361083984","-77.7042007446289","America/Toronto"
"YGP","Gaspé (Michel-Pouliot) Airport","Gaspe","Canada","48.7752990723","-64.4785995483","America/Toronto"
"YGQ","Geraldton Greenstone Regional Airport","Geraldton","Canada","49.77830123901367","-86.93939971923828","America/Toronto"
"YGR","Îles-de-la-Madeleine Airport","Iles De La Madeleine","Canada","47.42470169067383","-61.778099060058594","America/Toronto"
"YHB","Hudson Bay Airport","Hudson Bay","Canada","52.8166999817","-102.310997009","America/Regina"
"YHD","Dryden Regional Airport","Dryden","Canada","49.83169937133789","-92.74420166015625","America/Winnipeg"
"YHI","Ulukhaktok Holman Airport","Holman Island","Canada","70.76280212402344","-117.80599975585938","America/Edmonton"
"YHK","Gjoa Haven Airport","Gjoa Haven","Canada","68.635597229","-95.84970092770001","America/Edmonton"
"YHM","John C. Munro Hamilton International Airport","Hamilton","Canada","43.173599243199995","-79.93499755859999","America/Toronto"
"YHU","Montréal / Saint-Hubert Airport","Montreal","Canada","45.5175018311","-73.4169006348","America/Toronto"
"YHY","Hay River / Merlyn Carter Airport","Hay River","Canada","60.8396987915","-115.782997131","America/Edmonton"
"YHZ","Halifax / Stanfield International Airport","Halifax","Canada","44.8807983398","-63.5085983276","America/Halifax"
"YIB","Atikokan Municipal Airport","Atikokan","Canada","48.7738990784","-91.6386032104","America/Coral_Harbour"
